CHANNELNAME,CHANNELNOTES,SIDESLOPE1,SIDESLOPE2,WIDTH,LONGSLOPE,MANNINGS,FLOW
5229IE - 100 yr_High Slope,,6,5,3,0.008,0.04,6.6
5245IE - 100 yr_High Slope,,6,5,3,0.005,0.04,3.9
5254IE - 100 yr_High Slope,,4,4,3,0.023,0.04,3.9
5270IE - 100 yr_High Slope,,6,5,3,0.008,0.04,4.7
5300IE - 100 yr_High Slope,,6,5,3,0.018,0.04,10.4
5201DW - 2 yr_Low Slope,,4,4,2,0.007,0.04,0.1
5203DW - 2 yr_Low Slope,,4,4,4,0.013,0.04,0.7
5210DW - 2 yr_Low Slope,,4,4,2,0.005,0.04,0.3
5222DW - 2 yr_Low Slope,,33,3,0,0.01,0.04,0.1
5227DW - 2 yr_Low Slope,,4,4,10,0.005,0.04,3
5241DW - 2 yr_Low Slope,,4,4,10,0.006,0.04,1
5253DW - 2 yr_Low Slope,,4,4,2,0.027,0.04,0.1
5259DW - 2 yr_Low Slope,,4,4,2,0.009,0.04,0.4
5260DW - 2 yr_Low Slope,,4,4,2,0.008,0.04,1.5
5268DW - 2 yr_Low Slope,,4,4,2,0.008,0.04,2.7
5302DW - 2 yr_Low Slope,,4,4,8,0.004,0.04,2
5313DW - 2 yr_Low Slope,,4,4,10,0.01,0.04,2.69
5202IE - 2 yr_Low Slope,,6,5,3,0.005,0.04,0.1
5203IE - 2 yr_Low Slope,,6,5,3,0.004,0.04,0.5
5210IE - 2 yr_Low Slope,,6,5,3,0.004,0.04,0.3
5219IE - 2 yr_Low Slope,,6,5,3,0.009,0.04,0.9
5226IE - 2 yr_Low Slope,,6,5,3,0.005,0.04,0.8
5227IE - 2 yr_Low Slope,,6,5,3,0.004,0.04,0.3
5229IE - 2 yr_Low Slope,,6,5,3,0.008,0.04,1.2
5245IE - 2 yr_Low Slope,,6,5,3,0.005,0.04,0.7
 5254IE - 2 yr_Low Slope,,4,4,3,0.008,0.04,0.7
5270IE - 2 yr_Low Slope,,6,5,3,0.006,0.04,0.9
5300IE - 2 yr_Low Slope,,6,5,3,0.008,0.04,1.9
5201DW - 100 yr_Low Slope,,4,4,2,0.007,0.04,3.1
5203DW - 100 yr_Low Slope,,4,4,4,0.013,0.04,31.1
5210DW - 100 yr_LowSlope,,4,4,2,0.005,0.04,14.5
5222DW - 100 yr_Low Slope,,33,3,0,0.01,0.04,3.9
5227DW - 100 yr_Low Slope,,4,4,10,0.005,0.04,149.5
5241DW - 100 yr_Low Slope,,4,4,10,0.006,0.04,47.5
5253DW - 100 yr_Low Slope,,4,4,2,0.027,0.04,4.1
5259DW - 100 yr_Low Slope,,4,4,2,0.009,0.04,16.8
5260DW - 100 yr_Low Slope,,4,4,2,0.008,0.04,15.5
5268DW - 100 yr_Low Slope,,4,4,2,0.008,0.04,16.3
5302DW - 100 yr_Low Slope,,4,4,8,0.004,0.04,128.9
5313DW - 100 yr_Low Slope,,4,4,10,0.01,0.04,252.2
5202IE - 100 yr_Low Slope,,6,5,3,0.005,0.04,0.7
5203IE - 100 yr_Low Slope,,6,5,3,0.004,0.04,2.6
5210IE - 100 yr_Low Slope,,6,5,3,0.004,0.04,1.7
5219IE - 100 yr_Low Slope,,6,5,3,0.009,0.04,4.7
5226IE - 100 yr_Low Slope,,6,5,3,0.005,0.04,4
5227IE - 100 yr_Low Slope,,6,5,3,0.004,0.04,1.8
5229IE - 100 yr_Low Slope,,6,5,3,0.008,0.04,6.6
5245IE - 100 yr_Low Slope,,6,5,3,0.005,0.04,3.9
5254IE - 100 yr_Low Slope,,4,4,3,0.008,0.04,3.9
5270IE - 100 yr_Low Slope,,6,5,3,0.006,0.04,4.7
5300IE - 100 yr_Low Slope,,6,5,3,0.008,0.04,10.4
